target_session,previous_tw_close_utc,current_tw_open_utc,mapping_status,n_us_calendar_sessions,n_us_sessions,us_session_dates,us_open_timestamps_utc,us_close_timestamps_utc,feature_information_end_utc,us_early_close_sessions
2010-01-22,2010-01-21 05:30:00+00:00,2010-01-22 01:00:00+00:00,VALID,1,1,2010-01-21,2010-01-21T14:30:00+00:00,2010-01-21T21:00:00+00:00,2010-01-21 21:00:00+00:00,0
2010-01-25,2010-01-22 05:30:00+00:00,2010-01-25 01:00:00+00:00,VALID,1,1,2010-01-22,2010-01-22T14:30:00+00:00,2010-01-22T21:00:00+00:00,2010-01-22 21:00:00+00:00,0
2010-01-26,2010-01-25 05:30:00+00:00,2010-01-26 01:00:00+00:00,VALID,1,1,2010-01-25,2010-01-25T14:30:00+00:00,2010-01-25T21:00:00+00:00,2010-01-25 21:00:00+00:00,0
2010-01-27,2010-01-26 05:30:00+00:00,2010-01-27 01:00:00+00:00,VALID,1,1,2010-01-26,2010-01-26T14:30:00+00:00,2010-01-26T21:00:00+00:00,2010-01-26 21:00:00+00:00,0
2010-01-28,2010-01-27 05:30:00+00:00,2010-01-28 01:00:00+00:00,VALID,1,1,2010-01-27,2010-01-27T14:30:00+00:00,2010-01-27T21:00:00+00:00,2010-01-27 21:00:00+00:00,0
2010-01-29,2010-01-28 05:30:00+00:00,2010-01-29 01:00:00+00:00,VALID,1,1,2010-01-28,2010-01-28T14:30:00+00:00,2010-01-28T21:00:00+00:00,2010-01-28 21:00:00+00:00,0
2010-02-01,2010-01-29 05:30:00+00:00,2010-02-01 01:00:00+00:00,VALID,1,1,2010-01-29,2010-01-29T14:30:00+00:00,2010-01-29T21:00:00+00:00,2010-01-29 21:00:00+00:00,0
2010-02-02,2010-02-01 05:30:00+00:00,2010-02-02 01:00:00+00:00,VALID,1,1,2010-02-01,2010-02-01T14:30:00+00:00,2010-02-01T21:00:00+00:00,2010-02-01 21:00:00+00:00,0
2010-02-03,2010-02-02 05:30:00+00:00,2010-02-03 01:00:00+00:00,VALID,1,1,2010-02-02,2010-02-02T14:30:00+00:00,2010-02-02T21:00:00+00:00,2010-02-02 21:00:00+00:00,0
2010-02-04,2010-02-03 05:30:00+00:00,2010-02-04 01:00:00+00:00,VALID,1,1,2010-02-03,2010-02-03T14:30:00+00:00,2010-02-03T21:00:00+00:00,2010-02-03 21:00:00+00:00,0
2010-02-05,2010-02-04 05:30:00+00:00,2010-02-05 01:00:00+00:00,VALID,1,1,2010-02-04,2010-02-04T14:30:00+00:00,2010-02-04T21:00:00+00:00,2010-02-04 21:00:00+00:00,0
2010-02-06,2010-02-05 05:30:00+00:00,2010-02-06 01:00:00+00:00,VALID,1,1,2010-02-05,2010-02-05T14:30:00+00:00,2010-02-05T21:00:00+00:00,2010-02-05 21:00:00+00:00,0
2010-02-08,2010-02-06 05:30:00+00:00,2010-02-08 01:00:00+00:00,EMPTY_US_WINDOW,0,0,,,,,0
2010-02-09,2010-02-08 05:30:00+00:00,2010-02-09 01:00:00+00:00,VALID,1,1,2010-02-08,2010-02-08T14:30:00+00:00,2010-02-08T21:00:00+00:00,2010-02-08 21:00:00+00:00,0
2010-02-10,2010-02-09 05:30:00+00:00,2010-02-10 01:00:00+00:00,VALID,1,1,2010-02-09,2010-02-09T14:30:00+00:00,2010-02-09T21:00:00+00:00,2010-02-09 21:00:00+00:00,0
2010-02-22,2010-02-10 05:30:00+00:00,2010-02-22 01:00:00+00:00,VALID,7,7,2010-02-10;2010-02-11;2010-02-12;2010-02-16;2010-02-17;2010-02-18;2010-02-19,2010-02-10T14:30:00+00:00;2010-02-11T14:30:00+00:00;2010-02-12T14:30:00+00:00;2010-02-16T14:30:00+00:00;2010-02-17T14:30:00+00:00;2010-02-18T14:30:00+00:00;2010-02-19T14:30:00+00:00,2010-02-10T21:00:00+00:00;2010-02-11T21:00:00+00:00;2010-02-12T21:00:00+00:00;2010-02-16T21:00:00+00:00;2010-02-17T21:00:00+00:00;2010-02-18T21:00:00+00:00;2010-02-19T21:00:00+00:00,2010-02-19 21:00:00+00:00,0
2010-02-23,2010-02-22 05:30:00+00:00,2010-02-23 01:00:00+00:00,VALID,1,1,2010-02-22,2010-02-22T14:30:00+00:00,2010-02-22T21:00:00+00:00,2010-02-22 21:00:00+00:00,0
2010-02-24,2010-02-23 05:30:00+00:00,2010-02-24 01:00:00+00:00,VALID,1,1,2010-02-23,2010-02-23T14:30:00+00:00,2010-02-23T21:00:00+00:00,2010-02-23 21:00:00+00:00,0
2010-02-25,2010-02-24 05:30:00+00:00,2010-02-25 01:00:00+00:00,VALID,1,1,2010-02-24,2010-02-24T14:30:00+00:00,2010-02-24T21:00:00+00:00,2010-02-24 21:00:00+00:00,0
2010-02-26,2010-02-25 05:30:00+00:00,2010-02-26 01:00:00+00:00,VALID,1,1,2010-02-25,2010-02-25T14:30:00+00:00,2010-02-25T21:00:00+00:00,2010-02-25 21:00:00+00:00,0
2010-03-01,2010-02-26 05:30:00+00:00,2010-03-01 01:00:00+00:00,VALID,1,1,2010-02-26,2010-02-26T14:30:00+00:00,2010-02-26T21:00:00+00:00,2010-02-26 21:00:00+00:00,0
2010-03-02,2010-03-01 05:30:00+00:00,2010-03-02 01:00:00+00:00,VALID,1,1,2010-03-01,2010-03-01T14:30:00+00:00,2010-03-01T21:00:00+00:00,2010-03-01 21:00:00+00:00,0
2010-03-03,2010-03-02 05:30:00+00:00,2010-03-03 01:00:00+00:00,VALID,1,1,2010-03-02,2010-03-02T14:30:00+00:00,2010-03-02T21:00:00+00:00,2010-03-02 21:00:00+00:00,0
2010-03-04,2010-03-03 05:30:00+00:00,2010-03-04 01:00:00+00:00,VALID,1,1,2010-03-03,2010-03-03T14:30:00+00:00,2010-03-03T21:00:00+00:00,2010-03-03 21:00:00+00:00,0
