feature_month,target_month,feature_timestamp,execution_timestamp,laf,rv,tail_loss,state_prior_month_count,laf_prior_q80,laf_state,primary_complete_case
2003-12,2004-01,2003-12-31 21:00:00+00:00,2004-01-02 14:30:00+00:00,,,0.00907988888673144,0,,,False
2004-01,2004-02,,,,,0.008124535869574807,0,,,False
2004-02,2004-03,,,,,0.0551942068535234,0,,,False
2004-03,2004-04,2004-03-31 21:00:00+00:00,2004-04-01 14:30:00+00:00,,,0.019378774554402504,0,,,False
2004-04,2004-05,2004-04-30 20:00:00+00:00,2004-05-03 13:30:00+00:00,,,0.030171941952410228,0,,,False
2004-05,2004-06,,,,,0.00526008731275027,0,,,False
2004-06,2004-07,2004-06-30 20:00:00+00:00,2004-07-01 13:30:00+00:00,,,0.05431508631941353,0,,,False
2004-07,2004-08,2004-07-30 20:00:00+00:00,2004-08-02 13:30:00+00:00,,,0.03321638461180427,0,,,False
2004-08,2004-09,2004-08-31 20:00:00+00:00,2004-09-01 13:30:00+00:00,,,0.004245082386873613,0,,,False
2004-09,2004-10,2004-09-30 20:00:00+00:00,2004-10-01 13:30:00+00:00,,,0.026263578568449162,0,,,False
2004-10,2004-11,2004-10-29 20:00:00+00:00,2004-11-01 14:30:00+00:00,,,0.003175171295857105,0,,,False
2004-11,2004-12,2004-11-30 21:00:00+00:00,2004-12-01 14:30:00+00:00,,,0.0036461620441479445,0,,,False
2004-12,2005-01,2004-12-31 21:00:00+00:00,2005-01-03 14:30:00+00:00,,,0.043633342912655325,0,,,False
2005-01,2005-02,,,,,0.0012693170889536965,0,,,False
2005-02,2005-03,,,,,0.03463892932613461,0,,,False
2005-03,2005-04,2005-03-31 21:00:00+00:00,2005-04-01 14:30:00+00:00,,,0.04376650749960364,0,,,False
2005-04,2005-05,2005-04-29 20:00:00+00:00,2005-05-02 13:30:00+00:00,,,0.011001980351424454,0,,,False
2005-05,2005-06,2005-05-31 20:00:00+00:00,2005-06-01 13:30:00+00:00,,,0.0024353066953479675,0,,,False
2005-06,2005-07,2005-06-30 20:00:00+00:00,2005-07-01 13:30:00+00:00,,,0.010012652190997458,0,,,False
2005-07,2005-08,,,,,0.02825657636675698,0,,,False
2005-08,2005-09,2005-08-31 20:00:00+00:00,2005-09-01 13:30:00+00:00,,,0.012875113532200288,0,,,False
2005-09,2005-10,2005-09-30 20:00:00+00:00,2005-10-03 13:30:00+00:00,,,0.050711358549190365,0,,,False
2005-10,2005-11,2005-10-31 21:00:00+00:00,2005-11-01 14:30:00+00:00,,,0.0037387108591402495,0,,,False
2005-11,2005-12,2005-11-30 21:00:00+00:00,2005-12-01 14:30:00+00:00,,,0.007973202727163467,0,,,False
2005-12,2006-01,2005-12-30 21:00:00+00:00,2006-01-03 14:30:00+00:00,,,0.00641081645806264,0,,,False
2006-01,2006-02,,,,,0.019114165564474993,0,,,False
2006-02,2006-03,,,,,0.011103150580018652,0,,,False
2006-03,2006-04,2006-03-31 21:00:00+00:00,2006-04-03 13:30:00+00:00,,,0.01588598917087005,0,,,False
2006-04,2006-05,,,,,0.05238684553903276,0,,,False
2006-05,2006-06,2006-05-31 20:00:00+00:00,2006-06-01 13:30:00+00:00,,,0.04037101168030901,0,,,False
2006-06,2006-07,2006-06-30 20:00:00+00:00,2006-07-03 13:30:00+00:00,,,0.040354245670365343,0,,,False
2006-07,2006-08,,,,,0.008358748526806148,0,,,False
